,specialty,level,applications,posts,ratio,year
42,"Cardiothoracic Surgery
","ST3
"," 54
"," 8
"," 6.75
",2016
43,"General Surgery
","ST3
"," 365
"," 217
"," 1.68
",2016
44,"Neurosurgery
","ST3
"," 22
"," 6
"," 3.67
",2016
45,"Ophthalmology
","ST3
"," 43
"," 14
"," 3.07
",2016
46,"Oral and Maxillo Facial Surgery
","ST3
"," 21
"," 16
"," 1.31
",2016
47,"Otolaryngology
","ST3
"," 103
"," 63
"," 1.63
",2016
48,"Paediatric Surgery
","ST3
"," 53
"," 13
"," 4.08
",2016
49,"Plastic Surgery
","ST3
"," 103
"," 37
"," 2.78
",2016
50,"Trauma and Orthopaedic Surgery
","ST3
"," 370
"," 138
"," 2.68
",2016
51,"Urology
","ST3
"," 151
"," 70
"," 2.16
",2016
52,"Child and Adolescent Psychiatry
","ST3
","75
","69
","1.09
",2016
53,"Forensic Psychiatry
","ST4
","50
","26
","1.92
",2016
54,"Forensic and Child and Adolescent Psychiatry
","ST4
","3
","2
","1.50
",2016
55,"Forensic Psychiatry and Medical Psychotherapy
","ST4
","35
","10
","3.5
",2016
56,"General Psychiatry
","ST4
","227
","174
","1.3
",2016
57,"General Psychiatry and Medical Psychotherapy
","ST4
","35
","10
","3.5
",2016
58,"General and Old Age Psychiatry
","ST4
","84
","53
","1.58
",2016
59,"Medical Psychotherapy
","ST4
","4
","1
","4
",2016
60,"Old Age Psychiatry
","ST4
","60
","67
","0.9
",2016
61,"Psychiatry of Learning Disability
","ST4
","29
","38
","0.76
",2016
62,"Psychiatry of Learning Disability and Child and Adolescent Psychiatry
","ST4
","3
","4
","0.75
",2016
63,"Anaesthetics 
","ST3
"," 482
"," 374
"," 1.29
",2016
64,"Diagnostic Neuropathology 
","ST3
"," 6
"," 3
"," 2.00
",2016
65,"Emergency Medicine 
","ST3
"," 116
"," 49
"," 2.37
",2016
66,"Emergency Medicine 
","ST4
"," 90
"," 118
"," 0.76
",2016
67,"Intensive Care Medicine 
","ST3
"," 255
"," 160
"," 1.59
",2016
68,"Occupational Medicine 
","ST3
"," 16
"," 5
"," 3.20
",2016
69,"Paediatric and Perinatal Pathology 
","ST3
"," 8
"," 11
"," 0.73
",2016
70,"Paediatric Cardiology 
","ST4
"," 29
"," 9
"," 3.22
",2016
71,"Paediatrics 
","ST3
"," 38
"," 17
"," 2.24
",2016
72,"Paediatrics 
","ST4
"," 102
"," 87
"," 1.17
",2016
73,"Public Health 
","ST3
"," 9
"," 3
", 3.00,2016
