,specialty,level,applications,posts,ratio,year
73,Psychiatry of Learning Disability,4,22,45,0.49,2020
74,Psychiatry of Learning Disability & Child & Adolescent Psychiatry,4,8,7,1.14,2020
0,Paediatrics,4,105,83,1.27,2018
1,Palliative Medicine,3,106,38,2.79,2018
2,Plastic Surgery,3,134,32,4.19,2018
3,Psychiatry of Learning Disability,4,14,40,0.35,2018
4,Public Health Medicine,1,754,78,9.67,2018
5,Rehabilitation Medicine,3,39,33,1.18,2018
6,Renal Medicine,3,116,77,1.51,2018
7,Respiratory Medicine,3,221,94,2.35,2018
8,Rheumatology,3,125,52,2.4,2018
9,Sport & Exercise Medicine,3,32,12,2.67,2018
10,Trauma & Orthopaedic Surgery,3,409,142,2.88,2018
11,Urology,3,125,47,2.66,2018
12,Medical Oncology,3,121,55,2.2,2018
13,Medical Ophthalmology,3,4,3,1.33,2018
14,Medical Psychotherapy,4,12,4,3.0,2018
15,Metabolic Medicine,3,18,22,0.82,2018
16,Neurology,3,137,52,2.63,2018
17,Neurosurgery,1,152,34,4.47,2018
18,Neurosurgery,3,12,2,6.0,2018
19,Nuclear Medicine,3,8,3,2.67,2018
20,Obstetrics & Gynaecology,1,511,275,1.86,2018
21,Obstetrics & Gynaecology,3,270,95,2.84,2018
22,Occupational Medicine,3,26,11,2.36,2018
23,Old Age Psychiatry,4,52,66,0.79,2018
24,Ophthalmology,1,378,101,3.74,2018
25,Ophthalmology,3,42,18,2.33,2018
26,Oral & Maxillofacial Surgery,1,35,8,4.38,2018
27,Oral & Maxillofacial Surgery,3,21,15,1.4,2018
28,Otolaryngology,3,132,56,2.36,2018
29,Paediatric Cardiology,4,36,13,2.77,2018
30,Paediatric Surgery,3,42,10,4.2,2018
31,Paediatrics,1,585,451,1.3,2018
32,Paediatrics,2,42,28,1.5,2018
33,Paediatrics,3,75,50,1.5,2018
34,Core Surgical Training,1,1870,636,2.94,2018
35,Dermatology,3,172,55,3.13,2018
36,Diagnostic Neuropathology,3,5,6,0.83,2018
37,Emergency Medicine,3,91,83,1.1,2018
38,Emergency Medicine,4,89,79,1.13,2018
39,Endocrinology & Diabetes Mellitus,3,150,104,1.44,2018
40,Forensic Psychiatry,4,45,35,1.29,2018
41,Forensic Psychiatry & Child & Adolescent Psychiatry,4,5,3,1.67,2018
42,Forensic Psychiatry & Medical Psychotherapy,4,3,1,3.0,2018
43,Gastroenterology,3,233,93,2.51,2018
44,General & Vascular Surgery,3,396,257,1.54,2018
45,General Practice,1,4987,3763,1.33,2018
46,General Psychiatry,4,189,186,1.02,2018
47,General Psychiatry & Forensic Psychiatry,4,15,9,1.67,2018
48,General Psychiatry & Medical Psychotherapy,4,26,10,2.6,2018
49,General Psychiatry & Old Age Psychiatry,4,51,46,1.11,2018
50,Genitourinary Medicine,3,22,37,0.59,2018
51,Geriatric Medicine,3,216,171,1.26,2018
52,Haematology,3,128,80,1.6,2018
53,Histopathology,1,188,102,1.84,2018
54,Immunology,3,19,9,2.11,2018
55,Intensive Care Medicine,3,293,169,1.73,2018
56,Internal Medicine Training,1,2455,1637,1.5,2018
57,Anaesthetics,1,1428,581,2.46,2018
58,Emergency Medicine,1,700,369,1.9,2018
59,Acute Internal Medicine,3,257,131,1.96,2018
60,Allergy,3,11,1,11.0,2018
61,Anaesthetics,3,533,392,1.36,2018
62,Audiovestibular Medicine,3,9,3,3.0,2018
63,Cardiology,3,358,140,2.56,2018
64,Cardiothoracic surgery,1,90,11,8.18,2018
65,Cardiothoracic surgery,3,33,9,3.67,2018
66,Child & Adolescent Psychiatry,1,94,11,8.55,2018
67,Child & Adolescent Psychiatry,4,63,82,0.77,2018
68,Clinical Genetics,3,35,13,2.69,2018
69,Clinical Neurophysiology,3,20,13,1.54,2018
70,Clinical Oncology,3,123,53,2.32,2018
71,Clinical Pharmacology & Therapeutics,3,14,14,1.0,2018
72,Clinical Radiology,1,1090,291,3.75,2018
73,Combined Infection Training,3,125,69,1.81,2018
74,Community Sexual & Reproductive Health,1,93,10,9.3,2018
75,Core Psychiatry Training,1,754,510,1.48,2018
0,Emergency Medicine,1,759,363,2.1,2014
1,Anaesthetics,1,1262,595,2.1,2014
2,Broad Based Training,1,258,42,6.1,2014
3,Cardiothoracic Surgery,1,72,7,10.3,2014
4,Clinical Radiology,1,798,227,3.5,2014
5,Community Sexual & Reproductive Health,1,33,7,4.7,2014
6,Internal Medicine Training,1,3065,1468,2.1,2014
7,Core Psychiatry Training,1,643,497,1.3,2014
8,Core Surgical Training,1,1370,625,2.2,2014
9,General Practice,1,5477,3391,1.6,2014
10,Histopathology,1,165,93,1.8,2014
11,Medical Microbiology,1,50,14,3.6,2014
12,Neurosurgery,1,159,24,6.6,2014
13,Obstetrics & Gynaecology,1,583,240,2.4,2014
14,Ophthalmology,1,353,82,4.3,2014
15,Oral & Maxillofacial Surgery,1,87,4,21.8,2014
16,Paediatrics,1,814,435,1.9,2014
17,Public Health Medicine,1,686,78,8.8,2014
0,Emergency Medicine,1,760,344,2.21,2016
1,Anaesthetics,1,1263,603,2.09,2016
2,Cardiothoracic Surgery,1,61,6,10.17,2016
3,Clinical Radiology,1,1074,251,4.28,2016
4,Community Sexual & Reproductive Health,1,121,7,17.29,2016
5,Internal Medicine Training,1,2516,1640,1.53,2016
6,Core Psychiatry Training,1,745,497,1.5,2016
7,Core Surgical Training,1,1622,642,2.53,2016
8,General Practice,1,4863,3802,1.28,2016
9,Histopathology,1,209,83,2.52,2016
10,Neurosurgery,1,169,26,6.5,2016
11,Obstetrics & Gynaecology,1,551,272,2.03,2016
12,Ophthalmology,1,436,90,4.84,2016
13,Oral & Maxillofacial Surgery,1,19,3,6.33,2016
14,Paediatrics,1,708,430,1.65,2016
15,Public Health Medicine,1,738,70,10.54,2016
16,Acute Internal Medicine,3,239,118,2.03,2016
17,Allergy,3,7,1,7.0,2016
18,Audiovestibular Medicine,3,10,2,5.0,2016
19,Cardiology,3,350,150,2.33,2016
20,Clinical Genetics,3,30,10,3.0,2016
21,Clinical Neurophysiology,3,22,7,3.14,2016
22,Clinical Oncology,3,116,71,1.63,2016
23,Clinical Pharmacology & Therapeutics,3,10,9,1.11,2016
24,Combined Infection Training,3,100,56,1.79,2016
25,Dermatology,3,178,39,4.56,2016
26,Endocrinology & Diabetes Mellitus,3,153,78,1.96,2016
27,Gastroenterology,3,249,92,2.71,2016
28,Genitourinary Medicine,3,34,35,0.97,2016
29,Geriatric Medicine,3,264,144,1.83,2016
30,Haematology,3,129,89,1.45,2016
31,Immunology,3,21,8,2.63,2016
32,Medical Oncology,3,122,55,2.22,2016
33,Medical Ophthalmology,3,9,1,9.0,2016
34,Neurology,3,184,46,4.0,2016
35,Nuclear Medicine,3,16,7,2.29,2016
36,Palliative Medicine,3,126,40,3.15,2016
37,Rehabilitation Medicine,3,30,19,1.58,2016
38,Renal Medicine,3,119,87,1.37,2016
39,Respiratory Medicine,3,233,112,2.08,2016
40,Rheumatology,3,127,38,3.34,2016
41,Sport & Exercise Medicine,3,26,9,2.89,2016
42,Cardiothoracic Surgery,3,54,8,6.75,2016
43,General Surgery,3,365,217,1.68,2016
44,Neurosurgery,3,22,6,3.67,2016
45,Ophthalmology,3,43,14,3.07,2016
46,Oral & Maxillofacial Surgery,3,21,16,1.31,2016
47,Otolaryngology,3,103,63,1.63,2016
48,Paediatric Surgery,3,53,13,4.08,2016
49,Plastic Surgery,3,103,37,2.78,2016
50,Trauma & Orthopaedic Surgery,3,370,138,2.68,2016
51,Urology,3,151,70,2.16,2016
52,Child & Adolescent Psychiatry,3,75,69,1.09,2016
53,Forensic Psychiatry,4,50,26,1.92,2016
54,Forensic & Child & Adolescent Psychiatry,4,3,2,1.5,2016
55,Forensic Psychiatry & Medical Psychotherapy,4,35,10,3.5,2016
56,General Psychiatry,4,227,174,1.3,2016
57,General Psychiatry & Medical Psychotherapy,4,35,10,3.5,2016
58,General & Old Age Psychiatry,4,84,53,1.58,2016
59,Medical Psychotherapy,4,4,1,4.0,2016
60,Old Age Psychiatry,4,60,67,0.9,2016
61,Psychiatry of Learning Disability,4,29,38,0.76,2016
62,Psychiatry of Learning Disability & Child & Adolescent Psychiatry,4,3,4,0.75,2016
63,Anaesthetics,3,482,374,1.29,2016
64,Diagnostic Neuropathology,3,6,3,2.0,2016
65,Emergency Medicine,3,116,49,2.37,2016
66,Emergency Medicine,4,90,118,0.76,2016
67,Intensive Care Medicine,3,255,160,1.59,2016
68,Occupational Medicine,3,16,5,3.2,2016
69,Paediatric & Perinatal Pathology,3,8,11,0.73,2016
70,Paediatric Cardiology,4,29,9,3.22,2016
71,Paediatrics,3,38,17,2.24,2016
72,Paediatrics,4,102,87,1.17,2016
73,Public Health Medicine,3,9,3,3.0,2016
0,Emergency Medicine,1,881,363,2.43,2015
1,Anaesthetics,1,1294,629,2.06,2015
2,Broad Based Training,1,363,83,4.37,2015
3,Cardiothoracic Surgery,1,68,8,8.5,2015
4,Clinical Radiology,1,917,247,3.71,2015
5,Community Sexual & Reproductive Health,1,100,2,50.0,2015
6,Internal Medicine Training,1,2632,1550,1.7,2015
7,Core Psychiatry Training,1,662,466,1.42,2015
8,Core Surgical Training,1,1396,604,2.31,2015
9,General Practice,1,5112,3612,1.42,2015
10,Histopathology,1,189,79,2.39,2015
11,Neurosurgery,1,169,30,5.63,2015
12,Obstetrics & Gynaecology,1,599,238,2.52,2015
13,Ophthalmology,1,374,95,3.94,2015
14,Oral & Maxillofacial Surgery,1,27,5,5.4,2015
15,Paediatrics,1,801,446,1.8,2015
16,Public Health Medicine,1,724,88,8.23,2015
0,Emergency Medicine,1,675,340,1.99,2017
1,Anaesthetics,1,1296,601,2.16,2017
2,Cardiothoracic Surgery,1,64,10,6.4,2017
3,Clinical Radiology,1,1021,267,3.82,2017
4,Community Sexual & Reproductive Health,1,99,4,24.75,2017
5,Internal Medicine Training,1,2343,1657,1.41,2017
6,Core Psychiatry Training,1,623,495,1.26,2017
7,Core Surgical Training,1,1608,629,2.56,2017
8,General Practice,1,5097,3857,1.32,2017
9,Histopathology,1,174,95,1.83,2017
10,Neurosurgery,1,152,29,5.24,2017
11,Obstetrics & Gynaecology,1,555,263,2.11,2017
12,Ophthalmology,1,405,77,5.26,2017
13,Oral & Maxillofacial Surgery,1,20,8,2.5,2017
14,Paediatrics,1,580,437,1.33,2017
15,Public Health Medicine,1,718,77,9.32,2017
16,Acute Internal Medicine,3,245,125,1.96,2017
17,Allergy,3,8,3,2.67,2017
18,Audiovestibular Medicine,3,9,1,9.0,2017
19,Cardiology,3,361,136,2.65,2017
20,Clinical Genetics,3,28,12,2.33,2017
21,Clinical Neurophysiology,3,17,10,1.7,2017
22,Clinical Oncology,3,115,72,1.6,2017
23,Clinical Pharmacology & Therapeutics,3,9,15,0.6,2017
24,Combined Infection Training,3,109,53,2.06,2017
25,Dermatology,3,173,31,5.58,2017
26,Endocrinology & Diabetes Mellitus,3,160,77,2.08,2017
27,Gastroenterology,3,224,81,2.77,2017
28,Genitourinary Medicine,3,38,33,1.15,2017
29,Geriatric Medicine,3,218,152,1.43,2017
30,Haematology,3,133,80,1.66,2017
31,Immunology,3,11,4,2.75,2017
32,Medical Oncology,3,114,54,2.11,2017
33,Medical Ophthalmology,3,10,4,2.5,2017
34,Neurology,3,155,45,3.44,2017
35,Nuclear Medicine,3,10,2,5.0,2017
36,Palliative Medicine,3,99,29,3.41,2017
37,Rehabilitation Medicine,3,34,21,1.62,2017
38,Renal Medicine,3,112,71,1.58,2017
39,Respiratory Medicine,3,232,114,2.04,2017
40,Rheumatology,3,127,37,3.43,2017
41,Sport & Exercise Medicine,3,33,12,2.75,2017
42,Cardiothoracic Surgery,3,46,10,4.6,2017
43,General Surgery,3,350,236,1.48,2017
44,Neurosurgery,3,19,9,2.11,2017
45,Ophthalmology,3,32,9,3.56,2017
46,Oral & Maxillofacial Surgery,3,28,23,1.22,2017
47,Otolaryngology,3,126,69,1.83,2017
48,Paediatric Surgery,3,49,12,4.08,2017
49,Plastic Surgery,3,123,33,3.73,2017
50,Trauma & Orthopaedic Surgery,3,378,172,2.2,2017
51,Urology,3,144,67,2.15,2017
52,Child & Adolescent Psychiatry,4,69,62,1.11,2017
53,Forensic Psychiatry,4,46,45,1.02,2017
54,Forensic & Child & Adolescent Psychiatry,4,1,1,1.0,2017
55,General Psychiatry,4,188,175,1.07,2017
56,General Psychiatry & Forensic Psychiatry,4,8,3,2.67,2017
57,General Psychiatry & Medical Psychotherapy,4,24,7,3.43,2017
58,General & Old Age Psychiatry,4,67,47,1.43,2017
59,Medical Psychotherapy,4,16,4,4.0,2017
60,Old Age Psychiatry,4,51,58,0.88,2017
61,Psychiatry of Learning Disability,4,24,28,0.86,2017
62,Psychiatry of Learning Disability & Child & Adolescent Psychiatry,4,5,3,1.67,2017
63,Anaesthetics,3,495,398,1.24,2017
64,Diagnostic Neuropathology,3,6,5,1.2,2017
65,Emergency Medicine,3,83,34,2.44,2017
66,Emergency Medicine,4,78,61,1.28,2017
67,Intensive Care Medicine,3,231,163,1.42,2017
68,Paediatric & Perinatal Pathology,3,3,7,0.43,2017
69,Paediatric Cardiology,4,43,13,3.31,2017
70,Paediatrics,3,41,27,1.52,2017
71,Paediatrics,4,98,70,1.4,2017
0,Metabolic Medicine,3,12,17,0.71,2019
1,Neurology,3,138,52,2.65,2019
2,Neurosurgery,1,157,24,6.54,2019
3,Neurosurgery,3,21,3,7.0,2019
4,Nuclear Medicine,3,7,2,3.5,2019
5,Obstetrics & Gynaecology,1,529,262,2.02,2019
6,Obstetrics & Gynaecology,3,261,78,3.35,2019
7,Occupational Medicine,3,25,9,2.78,2019
8,Old Age Psychiatry,4,62,57,1.09,2019
9,Ophthalmology,1,356,110,3.24,2019
10,Oral & Maxillofacial Surgery,1,29,7,4.14,2019
11,Oral & Maxillofacial Surgery,3,23,24,0.96,2019
12,Otolaryngology,3,136,53,2.57,2019
13,Paediatric & Perinatal Pathology,3,3,4,0.75,2019
14,Paediatric Cardiology,4,40,10,4.0,2019
15,Paediatric Surgery,3,41,16,2.56,2019
16,Paediatrics,1,564,476,1.18,2019
17,Paediatrics,3,123,39,3.15,2019
18,Paediatrics,4,126,57,2.21,2019
19,Palliative Medicine,3,91,24,3.79,2019
20,Plastic Surgery,3,149,38,3.92,2019
21,Psychiatry of Learning Disability,4,26,58,0.45,2019
22,Psychiatry of Learning Disability & Child & Adolescent Psychiatry,4,8,3,2.67,2019
23,Public Health Medicine,1,804,86,9.35,2019
24,Rehabilitation Medicine,3,23,26,0.88,2019
25,Renal Medicine,3,150,66,2.27,2019
26,Respiratory Medicine,3,267,101,2.64,2019
27,Rheumatology,3,102,29,3.52,2019
28,Sport & Exercise Medicine,3,42,14,3.0,2019
29,Trauma & Orthopaedic Surgery,3,519,167,3.11,2019
30,Urology,3,141,68,2.07,2019
31,Core Surgical Training,1,1896,648,2.93,2019
32,Dermatology,3,132,39,3.38,2019
33,Diagnostic Neuropathology,3,5,3,1.67,2019
34,Emergency Medicine,3,88,60,5.08,2019
35,Emergency Medicine,4,81,57,1.47,2019
36,Endocrinology & Diabetes Mellitus,3,234,120,1.95,2019
37,Forensic Psychiatry,4,35,31,1.13,2019
38,Forensic Psychiatry & Child & Adolescent Psychiatry,4,4,3,1.33,2019
39,Gastroenterology,3,273,92,2.97,2019
40,General & Vascular Surgery,3,428,198,2.16,2019
41,General Practice,1,5166,3861,1.34,2019
42,General Psychiatry,4,182,184,0.99,2019
43,General Psychiatry & Medical Psychotherapy,4,19,8,2.38,2019
44,General Psychiatry & Old Age Psychiatry,4,80,72,1.11,2019
45,Genitourinary Medicine,3,20,46,0.43,2019
46,Geriatric Medicine,3,248,211,1.18,2019
47,Haematology,3,145,86,1.69,2019
48,Histopathology,1,194,93,2.09,2019
49,Immunology,3,19,6,3.17,2019
50,Intensive Care Medicine,3,305,171,1.78,2019
51,Medical Oncology,3,151,41,3.68,2019
52,Medical Ophthalmology,3,12,7,1.71,2019
53,Medical Psychotherapy,4,8,3,2.67,2019
54,Internal Medicine Training,1,2229,1563,1.43,2019
55,Anaesthetics,1,1333,568,2.35,2019
56,Emergency Medicine,1,777,363,2.14,2019
57,Acute Internal Medicine,3,322,110,2.93,2019
58,Allergy,3,10,2,5.0,2019
59,Anaesthetics,3,575,377,1.53,2019
60,Audiovestibular Medicine,3,7,5,1.4,2019
61,Cardiology,3,426,127,3.35,2019
62,Cardiothoracic Surgery,1,101,12,8.42,2019
63,Cardiothoracic Surgery,3,35,7,5.0,2019
64,Child & Adolescent Psychiatry,1,120,14,8.57,2019
65,Child & Adolescent Psychiatry,4,70,73,0.96,2019
66,Clinical Genetics,3,27,14,1.93,2019
67,Clinical Neurophysiology,3,23,7,3.29,2019
68,Clinical Oncology,3,135,54,2.5,2019
69,Clinical Pharmacology & Therapeutics,3,14,12,1.17,2019
70,Clinical Radiology,1,1095,302,3.63,2019
71,Combined Infection Training,3,144,65,2.22,2019
72,Community Sexual & Reproductive Health,1,83,7,11.86,2019
73,Core Psychiatry Training,1,814,473,1.72,2019
0,Emergency Medicine,1,534,203,2.6,2013
1,Anaesthetics,1,1189,478,2.5,2013
2,Broad Based Training,1,429,52,8.3,2013
3,Cardiothoracic Surgery,1,68,6,11.3,2013
4,Clinical Radiology,1,751,185,4.1,2013
5,Internal Medicine Training,1,3088,1209,2.6,2013
6,Core Psychiatry Training,1,650,437,1.5,2013
7,Core Surgical Training,1,1296,676,1.9,2013
8,General Practice,1,6447,2787,2.3,2013
9,Histopathology,1,154,120,1.3,2013
10,Medical Microbiology & Virology,1,108,21,5.1,2013
11,Neurosurgery,1,183,37,4.9,2013
12,Obstetrics & Gynaecology,1,591,204,2.9,2013
13,Ophthalmology,1,323,71,4.5,2013
14,Paediatrics,1,793,360,2.2,2013
15,Public Health Medicine,1,602,70,8.6,2013
