,specialty,level,applications,posts,ratio,year
49,"Immunology 
","ST3
"," 19
"," 6
"," 3.17
",2019
50,"Intensive Care Medicine 
","ST3
"," 305
"," 171
"," 1.78
",2019
51,"Medical Oncology 
","ST3
"," 151
"," 41
"," 3.68
",2019
52,"Medical Ophthalmology 
","ST3
"," 12
"," 7
"," 1.71
",2019
53,"Medical Psychotherapy 
","ST4
"," 8
"," 3
"," 2.67
",2019
54,"ACCS Acute Medicine/Internal Medicine Training
","CT1
","2229
"," 1563
"," 1.43
",2019
55,"ACCS Anaesthetics/Anaesthetics
","CT1
","1333
"," 568
"," 2.35
",2019
56,"ACCS Emergency Medicine 
","ST1/CT1
","777
"," 363
"," 2.14
",2019
57,"Acute Internal Medicine 
","ST3
","322
"," 110
"," 2.93
",2019
58,"Allergy 
","ST3
","10
"," 2
"," 5.00
",2019
59,"Anaesthetics 
","ST3
","575
"," 377
"," 1.53
",2019
60,"Audio Vestibular Medicine 
","ST3
","7
"," 5
"," 1.40
",2019
61,"Cardiology 
","ST3
","426
"," 127
"," 3.35
",2019
62,"Cardiothoracic Surgery 
","ST1
","101
"," 12
"," 8.42
",2019
63,"Cardiothoracic Surgery 
","ST3
","35
"," 7
"," 5.00
",2019
64,"Child and Adolescent Psychiatry 
","ST1
","120
"," 14
"," 8.57
",2019
65,"Child and Adolescent Psychiatry 
","ST4
","70
"," 73
"," 0.96
",2019
66,"Clinical Genetics 
","ST3
","27
"," 14
"," 1.93
",2019
67,"Clinical Neurophysiology 
","ST3
","23
"," 7
"," 3.29
",2019
68,"Clinical Oncology 
","ST3
","135
"," 54
"," 2.50
",2019
69,"Clinical Pharmacology and Therapeutics
","
","ST3
","14
"," 12
",2019
70," 1.17
","Clinical Radiology 
","ST1
","1095
"," 302
",2019
71," 3.63
","Combined Infection Training 
","ST3
","144
"," 65
",2019
72," 2.22
","Community Sexual and Reproductive Health 
","ST1
","83
"," 7
",2019
73," 11.86
","Core Psychiatry Training 
","ST1
","814
"," 473
",2019
74," 1.72
","
","
","
","
",2019
